,offer_name,link_to_offer,price,country,placed,condition
55,"Gloomhaven (English edition, fourth printing) (2018)",https://boardgamegeek.com/geekmarket/product/1854721,€150,australia,9 months ago,N
56,Gloomhaven,https://boardgamegeek.com/geekmarket/product/1853180,€35,australia,9 months ago,N
57,Gloomhaven,https://boardgamegeek.com/geekmarket/product/1844640,$90,australia,9 months ago,LN
58,Gloomhaven,https://boardgamegeek.com/geekmarket/product/1833257,$45,australia,9 months ago,N
59,Gloomhaven,https://boardgamegeek.com/geekmarket/product/1832086,$11,australia,9 months ago,N
60,Gloomhaven,https://boardgamegeek.com/geekmarket/product/1830660,$15,usa,10 months ago,N
61,Gloomhaven,https://boardgamegeek.com/geekmarket/product/1830657,$11,usa,10 months ago,N
62,Gloomhaven,https://boardgamegeek.com/geekmarket/product/1830656,$14,usa,10 months ago,N
63,Gloomhaven,https://boardgamegeek.com/geekmarket/product/1813879,$130,usa,10 months ago,LN
64,"Gloomhaven (English edition, first printing) (2017)",https://boardgamegeek.com/geekmarket/product/1786832,$90,usa,1 year ago,LN
65,"Gloomhaven (English edition, fourth printing) (2018)",https://boardgamegeek.com/geekmarket/product/1786554,$100,usa,1 year ago,N
66,Gloomhaven,https://boardgamegeek.com/geekmarket/product/1784738,$150,usa,1 year ago,N
67,"Gloomhaven (English edition, first printing) (2017)",https://boardgamegeek.com/geekmarket/product/1778485,€139,usa,1 year ago,LN
68,Gloomhaven (English edition second printing (with Solo Scenarios)) (2017),https://boardgamegeek.com/geekmarket/product/1777374,$130,usa,1 year ago,LN
69,Gloomhaven,https://boardgamegeek.com/geekmarket/product/1776314,€145,usa,1 year ago,N
70,Gloomhaven (English edition second printing (with Solo Scenarios)) (2017),https://boardgamegeek.com/geekmarket/product/1775709,€170,germany,1 year ago,G
71,"Gloomhaven (English edition, second printing) (2017)",https://boardgamegeek.com/geekmarket/product/1766684,AU$175,germany,1 year ago,N
72,"Gloomhaven (English edition, first printing) (2017)",https://boardgamegeek.com/geekmarket/product/1763666,€155,germany,1 year ago,N
73,"Gloomhaven (English edition, fourth printing) (2018)",https://boardgamegeek.com/geekmarket/product/1759582,$96,germany,1 year ago,N
74,"Gloomhaven (English edition, second printing) (2017)",https://boardgamegeek.com/geekmarket/product/1744004,$110,germany,1 year ago,LN
75,"Gloomhaven (English edition, first printing) (2017)",https://boardgamegeek.com/geekmarket/product/1743900,$115,germany,1 year ago,N
76,"Gloomhaven (English edition, second printing) (2017)",https://boardgamegeek.com/geekmarket/product/1728882,$85,germany,1 year ago,VG
77,"Gloomhaven (English edition, first printing) (2017)",https://boardgamegeek.com/geekmarket/product/1722317,$90,germany,1 year ago,LN
78,"Gloomhaven (English edition, first printing) (2017)",https://boardgamegeek.com/geekmarket/product/1698192,$120,germany,1 year ago,N
79,"Gloomhaven (English edition, second printing) (2017)",https://boardgamegeek.com/geekmarket/product/1692643,$175,germany,1 year ago,N
80,Gloomhaven,https://boardgamegeek.com/geekmarket/product/1680142,$100,usa,1 year ago,LN
81,Gloomhaven,https://boardgamegeek.com/geekmarket/product/1607064,$200,usa,1 year ago,N
82,Gloomhaven (English edition second printing (with Solo Scenarios)) (2017),https://boardgamegeek.com/geekmarket/product/1603806,€390,usa,1 year ago,LN
83,"Gloomhaven (English edition, second printing) (2017)",https://boardgamegeek.com/geekmarket/product/1603683,£70,usa,1 year ago,N
84,"Gloomhaven (English edition, first printing) (2017)",https://boardgamegeek.com/geekmarket/product/1601508,$139,usa,1 year ago,LN
85,Gloomhaven (English edition second printing (with Solo Scenarios)) (2017),https://boardgamegeek.com/geekmarket/product/1592743,€180,usa,1 year ago,LN
86,"Gloomhaven (English edition, first printing) (2017)",https://boardgamegeek.com/geekmarket/product/1591679,$140,usa,1 year ago,LN
87,Gloomhaven (English miniatures edition) (2017),https://boardgamegeek.com/geekmarket/product/1588848,C$215,usa,1 year ago,N
88,"Gloomhaven (English edition, first printing) (2017)",https://boardgamegeek.com/geekmarket/product/1578663,C$160,usa,1 year ago,VG
89,Gloomhaven,https://boardgamegeek.com/geekmarket/product/1548437,€209,usa,2 years ago,N
90,"Gloomhaven (English edition, first printing) (2017)",https://boardgamegeek.com/geekmarket/product/1519583,€155,ireland,2 years ago,N
91,Gloomhaven (English miniatures edition) (2017),https://boardgamegeek.com/geekmarket/product/1512913,€250,ireland,2 years ago,LN
92,Gloomhaven,https://boardgamegeek.com/geekmarket/product/1504874,AU$170,ireland,2 years ago,N
93,"Gloomhaven (English edition, first printing) (2017)",https://boardgamegeek.com/geekmarket/product/1503472,$180,ireland,2 years ago,LN
94,"Gloomhaven (English edition, first printing) (2017)",https://boardgamegeek.com/geekmarket/product/1503303,$300,ireland,2 years ago,N
95,"Gloomhaven (English edition, first printing) (2017)",https://boardgamegeek.com/geekmarket/product/1468042,$250,ireland,2 years ago,N
96,"Gloomhaven (English edition, second printing) (2017)",https://boardgamegeek.com/geekmarket/product/1400133,€140,ireland,2 years ago,N
97,"Gloomhaven (English edition, second printing) (2017)",https://boardgamegeek.com/geekmarket/product/1380179,$360,ireland,2 years ago,N
98,"Gloomhaven (English edition, second printing) (2017)",https://boardgamegeek.com/geekmarket/product/1371509,$300,ireland,2 years ago,N
99,"Gloomhaven (English edition, second printing) (2017)",https://boardgamegeek.com/geekmarket/product/1334678,€279,ireland,2 years ago,N
100,Gloomhaven (English miniatures edition) (2017),https://boardgamegeek.com/geekmarket/product/1145418,C$350,canada,3 years ago,N
101,"Pandemic Legacy: Season 1 (English red edition, second printing) (2015)",https://boardgamegeek.com/geekmarket/product/2073719,$39,usa,8 hours ago,N
102,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/2073054,$43,usa,1 day ago,N
103,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/2068890,$40,usa,6 days ago,N
104,Pandemic Legacy: Season 1,https://boardgamegeek.com/geekmarket/product/2058515,€61,usa,16 days ago,N
105,Pandemic Legacy: Season 1,https://boardgamegeek.com/geekmarket/product/2053014,€61,usa,21 days ago,N
106,Pandemic Legacy: Season 1 (German first blue edition) (2015),https://boardgamegeek.com/geekmarket/product/2046504,€5,usa,1 month ago,A
107,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/2044140,$40,usa,1 month ago,N
108,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/2023927,$40,usa,2 months ago,N
109,Pandemic Legacy: Season 1,https://boardgamegeek.com/geekmarket/product/2022248,$55,usa,2 months ago,N
110,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/2018426,€73,usa,2 months ago,N
111,Pandemic Legacy: Season 1 (German second blue edition) (2016),https://boardgamegeek.com/geekmarket/product/2017659,€35,germany,2 months ago,LN
112,Pandemic Legacy: Season 1,https://boardgamegeek.com/geekmarket/product/2017250,$45,germany,2 months ago,N
113,Pandemic Legacy: Season 1 (Italian blue edition) (2015),https://boardgamegeek.com/geekmarket/product/2009700,€60,germany,2 months ago,N
114,Pandemic Legacy: Season 1,https://boardgamegeek.com/geekmarket/product/2007150,$60,germany,3 months ago,N
115,Pandemic Legacy: Season 1,https://boardgamegeek.com/geekmarket/product/1979268,$40,germany,4 months ago,N
116,Пандемия: Наследие (Russian red edition) (2015),https://boardgamegeek.com/geekmarket/product/1971797,$15,germany,4 months ago,A
117,Pandemic Legacy: Season 1,https://boardgamegeek.com/geekmarket/product/1888543,$55,germany,7 months ago,N
118,"Pandemic Legacy: Season 1 (English red edition, second printing) (2015)",https://boardgamegeek.com/geekmarket/product/1880480,€65,germany,7 months ago,N
119,Pandemic Legacy: Season 1 (English blue edition) (2015),https://boardgamegeek.com/geekmarket/product/1880479,€65,germany,7 months ago,N
120,Pandemic Legacy: Seizoen 1 (Dutch blue edition) (2015),https://boardgamegeek.com/geekmarket/product/1880477,€48,germany,7 months ago,N
